file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,1,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,0,22
style.css,2,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,1,15
style.css,3,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,1,17
style.css,4,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,0,0
style.css,5,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,0,2
style.css,6,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,1,14
style.css,7,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,0,0
style.css,8,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,0,0
style.css,9,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,0,5
style.css,10,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,1,23
style.css,11,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,1,32
style.css,12,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,0,0
style.css,13,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,0,0
style.css,14,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,0,3
style.css,15,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,1,14
style.css,16,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,1,50
style.css,17,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,0,0
style.css,18,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,0,0
style.css,19,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,0,4
style.css,20,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,1,23
style.css,21,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,1,15
style.css,22,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,1,18
style.css,23,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,1,15
style.css,24,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,1,32
style.css,25,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,0,0
style.css,26,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,0,0
style.css,27,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,0,4
style.css,28,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,0,7
style.css,29,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,0,6
style.css,30,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,1,12
style.css,31,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,0,0
style.css,32,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,0,0
style.css,33,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,0,4
style.css,34,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,1,12
style.css,35,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,1,30
style.css,36,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,1,7
style.css,37,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,0,0
style.css,38,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,0,0
style.css,39,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,0,0
style.css,40,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,0,5
style.css,41,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,1,12
style.css,42,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,1,29
style.css,43,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,1,18
style.css,44,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,0,0
style.css,45,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,0,0
style.css,46,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,0,7
style.css,47,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,0,6
style.css,48,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,1,18
style.css,49,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,0,0
style.css,50,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,0,0
style.css,51,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,0,6
style.css,52,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,1,19
style.css,53,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,1,17
style.css,54,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,1,36
style.css,55,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,1,11
style.css,56,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,1,11
style.css,57,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,1,17
style.css,58,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,1,14
style.css,59,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,0,0
style.css,60,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,0,0
style.css,61,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,0,0
style.css,62,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,0,6
style.css,63,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,1,16
style.css,64,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,0,0
style.css,65,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,0,6
style.css,66,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,1,16
style.css,67,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,0,0
style.css,68,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,0,3
style.css,69,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,1,39
style.css,70,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,1,12
style.css,71,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,1,17
style.css,72,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,1,42
style.css,73,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,0,0
style.css,74,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,0,5
style.css,75,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,1,6
style.css,76,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,1,20
style.css,77,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,1,13
style.css,78,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,1,17
style.css,79,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,1,13
style.css,80,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,0,0
style.css,81,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,0,13
style.css,82,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,1,25
style.css,83,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,1,25
style.css,84,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,1,39
style.css,85,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,1,20
style.css,86,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,0,0
style.css,87,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,0,11
style.css,88,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,1,69
style.css,89,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,1,25
style.css,90,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,1,25
style.css,91,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,1,39
style.css,92,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,1,20
style.css,93,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,0,0
style.css,94,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,0,0
style.css,95,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,0,0
style.css,96,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,0,18
style.css,97,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,0,9
style.css,98,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,1,12
style.css,99,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,1,57
style.css,100,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,1,7
style.css,101,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,0,0
style.css,102,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,0,0
style.css,103,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,0,19
style.css,104,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,1,79
style.css,105,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,1,34
style.css,106,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,1,15
style.css,107,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,0,0
style.css,108,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,0,0
style.css,109,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,0,18
style.css,110,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,1,14
style.css,111,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,1,16
style.css,112,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,0,0
style.css,113,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,1,16
style.css,114,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,0,0
style.css,115,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,0,0
style.css,116,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,0,7
style.css,117,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,1,20
style.css,118,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,1,49
style.css,119,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,1,56
style.css,120,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,1,36
style.css,121,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,1,64
style.css,122,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,1,64
style.css,123,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,1,21
style.css,124,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,0,0
style.css,125,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,0,0
style.css,126,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,0,7
style.css,127,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,1,6
style.css,128,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,1,12
style.css,129,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,1,57
style.css,130,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,1,9
style.css,131,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,1,15
style.css,132,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,1,9
style.css,133,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,1,12
style.css,134,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,0,0
style.css,135,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,0,0
style.css,136,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,0,10
style.css,137,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,1,12
style.css,138,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,1,18
style.css,139,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,1,9
style.css,140,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,1,15
style.css,141,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,0,0
style.css,142,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,0,0
style.css,143,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,0,10
style.css,144,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,1,12
style.css,145,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,1,18
style.css,146,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,1,22
style.css,147,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,1,8
style.css,148,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,1,12
style.css,149,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,1,17
style.css,150,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,1,10
style.css,151,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,1,15
style.css,152,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,1,13
style.css,153,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,0,0
style.css,154,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,0,0
style.css,155,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,0,3
style.css,156,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,1,4
style.css,157,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,2,16
style.css,158,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,2,14
style.css,159,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,1,0
style.css,160,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,0,0
style.css,161,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,1,17
style.css,162,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,2,16
style.css,163,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,3,11
style.css,164,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,2,0
style.css,165,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,1,0
style.css,166,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,0,0
style.css,167,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,0,0
style.css,168,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,0,9
style.css,169,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,1,35
style.css,170,css,8d3de9e,Brian Jing,2025-11-20,22:02:25,-08:00,2025-11-20T22:02:25-08:00,0,0
